State_UT,District,Block_Mandal,Location,F (mg/L)
Rajasthan,Ganganagar,Raisinghnagar,Dabla,1.88
Rajasthan,Ganganagar,Raisinghnagar,Jagatsinghwala,2.3
Rajasthan,Ganganagar,Raisinghnagar,Muklawa,1.84
Rajasthan,Ganganagar,Sadulasahar,Morjhand Kheri,3.02
Rajasthan,Ganganagar,Sadulsahar,Mahiyanwali,2.49
Rajasthan,Ganganagar,Suratgarh,Bhopalpura,5.65
Rajasthan,Ganganagar,Suratgarh,Birdhwal,8.25
Rajasthan,Ganganagar,Suratgarh,Birmana,8.18
Rajasthan,Ganganagar,Suratgarh,Harisinghpura,7.26
Rajasthan,Ganganagar,Suratgarh,Lalgariya,2.72
Rajasthan,Ganganagar,Suratgarh,Padampura,3.65
Rajasthan,Ganganagar,Suratgarh,Piperan,9.88
Rajasthan,Ganganagar,Suratgarh,Sangita,5.84
Rajasthan,Hanumangarh,Hanumangarh,Kohla,7
Rajasthan,Hanumangarh,Hanumangarh,Panniwali,5.8
Rajasthan,Hanumangarh,Hanumangarh,Salewali,1.94
Rajasthan,Hanumangarh,Nohar,Lakhasar,5
Rajasthan,Hanumangarh,Nohar,Ramsara,5
Rajasthan,Jaipur,Amber,Jalsu,1.75
Rajasthan,Jaipur,Amber,Pratapura Kalan,2.03
Rajasthan,Jaipur,Bassi,Jatwara Rly Sta,3.56
Rajasthan,Jaipur,Chaksu,Chaksu,1.73
Rajasthan,Jaipur,Chaksu,Shivdaspura,2.41
Rajasthan,Jaipur,Chaksu,Thalli,5.65
Rajasthan,Jaipur,Dudu,Nasnota,13.8
Rajasthan,Jaipur,Dudu,Pallukhurd,3.98
Rajasthan,Jaipur,Jamwa Ramgarh,Andhi,2.54
Rajasthan,Jaipur,Phagi,Phagi,2.28
Rajasthan,Jaipur,Sambhar,Phulera(Pipli K,11.6
Rajasthan,Jaipur,Sanganer,Goner,4.7
Rajasthan,Jaipur,Sanganer,Sukhpuria,1.91
Rajasthan,Jaipur,Sanganer,Tilawala,5.34
Rajasthan,Jaipur,Sanganer,Watika,3.34
Rajasthan,Jaisalmer,Jaisalmer,Chandsar,2.3
Rajasthan,Jaisalmer,Jaisalmer,Parwar,2
Rajasthan,Jaisalmer,Sam,Asutar,1.98
Rajasthan,Jaisalmer,Sam,Haboor,1.5
Rajasthan,Jaisalmer,Sam,Phulia,4
Rajasthan,Jaisalmer,Sankra,Kalewa,2.3
Rajasthan,Jaisalmer,Sankra,Luna Kalan,1.85
Rajasthan,Jaisalmer,Sankra,Phalsund,3.2
Rajasthan,Jalore,Ahore,Nimla,1.57
Rajasthan,Jalore,Bhinmal,Bhinmal,6.91
Rajasthan,Jalore,Bhinmal,Doongri,1.94
Rajasthan,Jalore,Jalore,Jalore,4.51
Rajasthan,Jalore,Raniwara,Kagmala(Kundanpura),1.98
Rajasthan,Jalore,Sanchor,Bagora,3.53
Rajasthan,Jalore,Sayla,Madavala,2.19
Rajasthan,Jalore,Sayla,Posana,3.06
Rajasthan,Jhunjhunun,Jhunjhunun,Jhunjhunun,3.74
Rajasthan,Jhunjhunun,Jhunjhunun,Mandawa,1.92
Rajasthan,Jhunjhunun,Udaipurwati,Dhabai Ki Dhani,3.25
Rajasthan,Jodhpur,Bhopalgarh,Asop,2.5
Rajasthan,Jodhpur,Bhopalgarh,Dharmi,2.36
Rajasthan,Jodhpur,Bhopalgarh,Palri,2.82
Rajasthan,Jodhpur,Bhopalgarh,Rarod,1.74
Rajasthan,Jodhpur,Bilara,Bilara,1.98
Rajasthan,Jodhpur,Luni,Kuri,1.6
Rajasthan,Jodhpur,Luni,Mogra,36.2
Rajasthan,Jodhpur,Luni,Raron Ki Dhani,5.48
Rajasthan,Jodhpur,Mandore,Karani,4.35
Rajasthan,Jodhpur,Osian,Baori,3
Rajasthan,Jodhpur,Osian,Chirai,1.67
Rajasthan,Karauli,Hindon,Islampur,4.95
Rajasthan,Karauli,Karauli,Bhauapura,1.62
Rajasthan,Karauli,Nadauti,Guda Chanderji,5.52
Rajasthan,Kota,Ladpura,Gudli,1.6
Rajasthan,Nagaur,Degana,Degana Jn.,2.1
Rajasthan,Nagaur,Didwana,Bathri,1.56
Rajasthan,Nagaur,Didwana,Kerap,1.9
Rajasthan,Nagaur,Jayal,Deh,3.45
Rajasthan,Nagaur,Jayal,Jayal,2.43
Rajasthan,Nagaur,Jayal,Katoti,1.53
Rajasthan,Nagaur,Jayal,Rol,2.12
Rajasthan,Nagaur,Ladnu,Bankalia,1.6
Rajasthan,Nagaur,Makrana,Makrana,1.55
Rajasthan,Nagaur,Makrana,Mangalana,12.7
Rajasthan,Nagaur,Mundwa,Khimsar,1.97
Rajasthan,Nagaur,Mundwa,Mundwa,4.79
Rajasthan,Nagaur,Mundwa,Nagari,1.89
Rajasthan,Nagaur,Nagaur,Barani,3.25
Rajasthan,Nagaur,Nagaur,Gurha,2.97
Rajasthan,Nagaur,Nagaur,Nagaur,3.12
Rajasthan,Nagaur,Parbatsar,Parbatsar,4.83
Rajasthan,Nagaur,Riyan,Badayali,1.9
Rajasthan,Nagaur,Riyan,Katyasni,1.57
Rajasthan,Nagaur,Riyan,Padukalan,2.39
Rajasthan,Pali,Bali,Perwa,1.7
Rajasthan,Pali,Jaitaran,Bassi,3.18
Rajasthan,Pali,Jaitaran,Jaitaran,5.1
Rajasthan,Pali,Jaitaran,Prithipura,2
Rajasthan,Pali,Pali,Gumti,8.8
Rajasthan,Pali,Raipur,Balwana,2
Rajasthan,Pali,Raipur,Barr,1.73
Rajasthan,Pali,Raipur,Hajiwas,3.6
Rajasthan,Pali,Raipur,Raipur-I,6.6
Rajasthan,Pali,Sojat,Kanawas,4.14
Rajasthan,Pali,Sojat,Kariasoda,2.5
Rajasthan,Pali,Sumerpur,Dhola,5.2
Rajasthan,Rajsamand,Kumbhalgarh,Jhilwara,2.41
Rajasthan,Rajsamand,Railmagra,Gaverdi,1.87
Rajasthan,Rajsamand,Railmagra,Khandel,2.47
Rajasthan,Rajsamand,Railmagra,Oda,4.45
Rajasthan,Rajsamand,Railmagra,Railmagra,2.13
Rajasthan,Sawai Madhopur,Bamannwas,Moral Telwara,1.66
Rajasthan,Sawai Madhopur,Bamannwas,Piplai,6.6
Rajasthan,Sawai Madhopur,Bonli,Bonali,5.96
Rajasthan,Sawai Madhopur,Gangapur,Gangapur,4.18
Rajasthan,Sawai Madhopur,Gangapur,Sewa,4.7
Rajasthan,Sikar,Dhod,Binjyasi,3.94
Rajasthan,Sikar,Fatehpur,Fatehpur,1.8
Rajasthan,Sikar,Fatehpur,Rohalsobhsar,4.69
Rajasthan,Sikar,Laxmangarh,Lachhmangarh,1.85
Rajasthan,Sikar,Srimadhopur,Lampura,2.68
Rajasthan,Sikar,Srimadhopur,Nathusar,1.72
Rajasthan,Sirohi,Abu Road,Abu Road,1.6
Rajasthan,Sirohi,Abu Road,Dhamsara,2.47
Rajasthan,Sirohi,Abu Road,Girwar,3.15
Rajasthan,Sirohi,Abu Road,Kiwarli,2.05
Rajasthan,Sirohi,Abu Road,Siyana,1.65
Rajasthan,Sirohi,Pindwara,Virwara,1.51
Rajasthan,Sirohi,Reodar,Jirawal,1.95
Rajasthan,Sirohi,Reodar,Karaunti,2.18
Rajasthan,Sirohi,Reodar,Palri,2.72
Rajasthan,Sirohi,Sheoganj,Jhadoli,1.81
Rajasthan,Sirohi,Sirohi,Ambeshwarji,3.27
Rajasthan,Sirohi,Sirohi,Doduwa,2.55
Rajasthan,Sirohi,Sirohi,Kalandri,2.27
Rajasthan,Sirohi,Sirohi,Sirohi,1.64
Rajasthan,Tonk,Deoli,Ramthala,7.5
Rajasthan,Tonk,Devli,Sirohi,5.46
Rajasthan,Tonk,Malpura,Jaisinghpur,3.65
Rajasthan,Tonk,Malpura,Malpura,5.96
Rajasthan,Tonk,Toda Raisingh,Hamirpur,2.45
Rajasthan,Tonk,Tonk,Mandiawas,1.98
Rajasthan,Tonk,Tonk,Sohela,2.45
Rajasthan,Tonk,Tonk,Tonk,6.33
Rajasthan,Tonk,Uniara,Nayagaon,4.75
Rajasthan,Udaipur,Dhariawad,Jawahar Nagar,2.51
Rajasthan,Udaipur,Mavli,Fatehnagar,1.58
Rajasthan,Udaipur,Sarada,Semri,2.79
TamilNadu,Coimbatore,Avinashi,Karamadai,1.9
TamilNadu,Coimbatore,Madathukulam,Kaniyur,1.53
TamilNadu,Coimbatore,Sarkar Samakulam,Saravanampatti,1.57
TamilNadu,Dharmapuri,Harur,Harur1,3.8
TamilNadu,Dharmapuri,Harur,K.Vetrapatti,2.38
TamilNadu,Dharmapuri,Morappur,Odasalapatti,1.94
TamilNadu,Dharmapuri,Pappireddipatti,Papireddipatti1,2.4
TamilNadu,Dharmapuri,Pennagaram,Nagadasampatti,1.74
TamilNadu,Dharmapuri,Pennagaram,Papparapatti,2.64
TamilNadu,Dindigul,Gijiliyamparai,Idayapatti,1.73
TamilNadu,Dindigul,Vedasandur,Eriyodu,1.58
TamilNadu,Erode,Ammapet,Ammapet2,1.8
TamilNadu,Erode,Ammapet,Krishnapuram,1.91
TamilNadu,Erode,Andhiyur,Attani,1.51
TamilNadu,Erode,Bhavani,Kavundapadi1,1.54
TamilNadu,Erode,Perundurai,Nasiyanur,1.76
TamilNadu,Karur,Aravakurichi,Aravakurichi2,1.73
TamilNadu,Karur,K.Paramathi,Chinna Dharapuram,1.52
TamilNadu,Karur,K.Paramathi,Paramatti1,1.61
TamilNadu,Karur,Karur,Noyyil,1.92
TamilNadu,Krishnagiri,Kelamangalam,Rayakottai,3.25
TamilNadu,Namakkal,Elachipalayam,V.G.Patti,1.63
TamilNadu,Namakkal,Kabilarmalai,Velur,1.8
TamilNadu,Namakkal,Namagiripettai,Udayarpalayam,1.61
TamilNadu,Namakkal,Paramathi,Irumbapalam,1.54
TamilNadu,Namakkal,Puduchatram,Talambadi,1.6
TamilNadu,Namakkal,Vannandurai,Mohanur1,1.87
TamilNadu,Perambalur,Tirumanur,Kilpazhavur,1.64
TamilNadu,Puddukotai,Virallimalai,Virallimalai,1.9
TamilNadu,Ramanathapuram,Kadaladi,Sayalkudi,1.6
TamilNadu,Ramanathapuram,Mandapam,Nadumanaikadu,1.9
TamilNadu,Ramanathapuram,Mudukulattur,Mudukulathur,1.8
TamilNadu,Ramanathapuram,Tirupulani,Kilkkarai,1.76
TamilNadu,Salem,Kadayampatti,Tivettipatti,1.7
TamilNadu,Salem,Konganapuram,Idapadi,1.67
TamilNadu,Sivaganga,Sakkottai,Chettinadu,3.05
TamilNadu,Theni,Mayiladumparai,Gandamanur,1.53
TamilNadu,Thiruvannamalai,Jamanamaruthur,Jamunamarattur1,1.68
TamilNadu,Tiruchirapally,Manachanallur,Siruganur,1.85
TamilNadu,Vellore,Arcot,Arcot2,2
TamilNadu,Vellore,Gudiyattam,P.Agaram,1.76
TamilNadu,Vellore,Kandili,Alankuppam,1.68
TamilNadu,Vellore,Natrampalli,Natrampalli,2.28
TamilNadu,Vellore,Tirupattur,Vengalapuram,1.74
TamilNadu,Vellore,Vellore,Vellore1,1.68
TamilNadu,Vellore,Walajapet,Ranipet1,2.06
TamilNadu,Virudhunagar,Virudhunagar,Virudunagar,1.64
TamilNadu,Virudhunagar,Watrap,Watrap,1.56
Uttar Pradesh,Agra,Achnera,Soondhi Chaurha,1.58
Uttar Pradesh,Agra,Bichpuri,Shahaganj Prithvinath,2.6
Uttar Pradesh,Agra,Etmadpur,Etmadpur,1.88
Uttar Pradesh,Agra,Kheragarh,Kagraul,1.89
Uttar Pradesh,Aligarh,Akrabad,Gopi,1.53
Uttar Pradesh,Aligarh,Gonda,Gonda,2.5
Uttar Pradesh,Aligarh,Khair,Palachand,1.95
Uttar Pradesh,Etah,Amanpur,Amanpur,1.83
Uttar Pradesh,Etah,Jalesar,Locha,3.11
Uttar Pradesh,Firozabad,Eka,Mustafabad,1.77
Uttar Pradesh,Firozabad,Firozabad,Firozabad,2.21
Uttar Pradesh,Firozabad,Jasrana,Kuslari,1.76
Uttar Pradesh,Jaunpur,Jalalpur,Jalalpur,1.5
Uttar Pradesh,Kannauj,Umarda,Harharpur,2.33
Uttar Pradesh,Mahamaya Nagar,Hathras,Hathras,2.08
Uttar Pradesh,Mahamaya Nagar,Mursan,Mursan,2.13
Uttar Pradesh,Mahamaya Nagar,Sadabad,Biswar,2.16
Uttar Pradesh,Mahamaya Nagar,Sadabad,Sadabad,2.23
Uttar Pradesh,Mainpuri,Jagir,Nagla,2.96
Uttar Pradesh,Mathura,Baldeo,Baldeo,2.27
Uttar Pradesh,Mathura,Chaumuhan,Sahar,1.88
Uttar Pradesh,Mathura,Chhata,Chhata,2.1
Uttar Pradesh,Mathura,Farah,Nagra Chittar Singh,2.27
Uttar Pradesh,Mathura,Goverdhan,Jhinglanagla,2.23
Uttar Pradesh,Mathura,Mat,Mat,1.94
Uttar Pradesh,Mathura,Mat,Surir,1.78
Uttar Pradesh,Mathura,Mathura,Jachoda,2.04
Uttar Pradesh,Mathura,Nandgaon,Kosi,1.56
Uttar Pradesh,Mau,Ranipur,Chiryakoot,1.63
West Bengal,Bankura,Borjora,Rampurdanga,1.6
West Bengal,Bankura,Chhatna,Gouripur,2
West Bengal,Bardhaman,Kulti,Kultora,1.76
West Bengal,Bardhaman,Raniganj,Raniganj,1.55
West Bengal,Birbhum,Ilambazar,Ilambazar,5.6
West Bengal,Birbhum,Khyrasol,Khyrasol,9.1
West Bengal,Birbhum,Nalhati-I,Bhabanandapur,1.5
West Bengal,Birbhum,Raznagar,Raznagar,3.1
West Bengal,Dakshindinajpur,Bansihari-I,Jordighi,1.5
West Bengal,Dakshindinajpur,Gangarampur,Bordangi,1.6
West Bengal,Dakshindinajpur,Gangarampur,Gangarampur,1.5
West Bengal,Dakshindinajpur,Gangarampur,Nayabazar,1.6
West Bengal,Dakshindinajpur,Kumarganj,Samjia,1.6
West Bengal,Malda,Kaliachak-Iii,16-Mile,1.87
West Bengal,Malda,Kaliachak-Iii,17-Mile,1.89
West Bengal,Malda,Kaliachak-Iii,Dorapur-46,1.88
West Bengal,Malda,Kaliachak-Iii,Mahajan Tahtala,1.87
West Bengal,Nadia,Chakda,Silinda,1.64
West Bengal,Nadia,Chapra,Assanagar,1.95
West Bengal,Nadia,Chapra,Chapra,1.6
West Bengal,Nadia,Chapra,Hridaypur,1.7
West Bengal,Nadia,Hanskhali,Badkulla,1.66
West Bengal,Nadia,Hanskhali,Gajna,1.68
West Bengal,Nadia,Hanskhali,Hanskhali,1.68
West Bengal,Nadia,Haringhata,Birohi,1.75
West Bengal,Nadia,Kaliganj,Juranpur,1.67
West Bengal,Nadia,Kaliganj,Palassey,1.9
West Bengal,Nadia,Karimpur-I,Uttarkechudanga,1.6
West Bengal,Nadia,Karimpur-Ii,Karimpur,1.66
West Bengal,Nadia,Karimpur-Ii,Narayanpur,1.64
West Bengal,Nadia,Karimpur-Ii,Thanapara,3
West Bengal,Nadia,Krishnaganj,Banpur,1.61
West Bengal,Nadia,Krishnaganj,Gobindapur,1.6
West Bengal,Nadia,Krisnagar,Chukhali,1.52
West Bengal,Nadia,Krisnanagar,Bahadurpur,1.68
West Bengal,Nadia,Krisnanagar,Dhubulia,1.58
West Bengal,Nadia,Krisnanagar,Dignagar,1.67
West Bengal,Nadia,Nakasipara,Birpur,1.74
West Bengal,Nadia,Nakasipara,Murugacha,1.9
West Bengal,Nadia,Navadwip,Nabadwipghat,1.5
West Bengal,Nadia,Santipur,Phulia,1.6
West Bengal,Nadia,Santipur,Shantipur,1.6
West Bengal,Nadia,Tehata-Ii,Barnia,1.81
West Bengal,Nadia,Tehata-Ii,Kulgachi,1.5
West Bengal,Nadia,Tehata-Ii,Palashipara,1.57
West Bengal,Nadia,Tehat-I,Betai,1.61
West Bengal,Nadia,Tehat-I,Shamnagar,1.7
West Bengal,Nadia,Tehat-I,Tehatta,1.5
West Bengal,Purulia,Barabazar,Sindri,1.7
West Bengal,Purulia,Hura,Jhapra,1.5
West Bengal,Purulia,Jhalda-I,Jhargo,1.5
West Bengal,Purulia,Jhalda-Ii,Barorola,1.7
West Bengal,Purulia,Kashipur,Plashkhola,1.5
West Bengal,Purulia,Kasipur,Gourandih,1.52
West Bengal,Purulia,Kasipur,Kapasita,1.8
West Bengal,Purulia,Kasipur,Naduara,1.7
West Bengal,Purulia,Kasipur,Napara,1.6
West Bengal,Purulia,Kasipur,Simla,1.5
West Bengal,Purulia,Neturia,Gobag,1.5
West Bengal,Purulia,Neturia,Sarbori,1.7
West Bengal,Purulia,Para,Anara,1.85
West Bengal,Purulia,Para,Hariharpur,1.9
West Bengal,Purulia,Puncha,Kenda,1.53
West Bengal,Purulia,Purulia-I,Chakatore,1.5
West Bengal,Purulia,Purulia-I,Tamna,1.56
West Bengal,Purulia,Raghunathpur,Babugram,1.5
West Bengal,Purulia,Raghunathpur,Bero,1.51
West Bengal,Uttardinajpur,Hemtabad,Malan,1.9
West Bengal,Uttardinajpur,Hemtabad,Samspurhat,1.5
West Bengal,Uttardinajpur,Itahar,Durgapur,1.9
West Bengal,Uttardinajpur,Kaliaganj,Kaliaganj,1.7
West Bengal,Uttardinajpur,Karandighi,Altapur,1.6
West Bengal,Uttardinajpur,Karandighi,Tungidighi,1.5
West Bengal,Uttardinajpur,Raiganj,Barakamath,1.7
